,UNI_TR_D,GRU_TAR,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,eu_dis_untrs,eu_dis_nfe,main_r_dist,secondary_r_dist
81,26876304,1,299.97,69.0,86.55555555555556,301.0,27707534,1,POINT (155097.0130946919 7533348.664774708),POINT (151650.7712599388 7531499.6391658),3910.943426591317,19466.16372261911,15615.272638182745,2721.5793814945237
82,26876305,1,389.95,86.0,85.58333333333333,542.0,27707534,1,POINT (154863.1607548715 7533525.550127329),POINT (151650.7712599388 7531499.6391658),3797.86275307548,19257.039536155953,15327.520545491898,2655.695013284878
83,26876306,1,130.93,32.0,160.875,435.0,27707534,1,POINT (151952.8678723368 7535434.032406351),POINT (151650.7712599388 7531499.6391658),3945.974218683146,16784.648273924347,11884.059182744073,3842.5826540207254
84,26876307,3,332.72,79.0,91.45833333333333,480.0,27707534,1,POINT (151581.0583598788 7535998.871264976),POINT (151650.7712599388 7531499.6391658),4499.772146529814,16589.986319088566,11322.016174419028,4485.455790388777
85,26876308,1,554.7099999999999,137.0,89.64285714285712,857.0,27707534,1,POINT (151932.5969208475 7535215.727315849),POINT (151650.7712599388 7531499.6391658),3726.759563223584,16707.972916743976,11955.339078090808,3637.174593399555
86,26876309,1,70.02,15.0,12.416666666666666,30.0,27707534,0,POINT (155107.4176545798 7536645.650111861),POINT (151650.7712599388 7531499.6391658),6199.180022757782,20150.950394412754,14254.1206288153,5393.850081261593
87,26876310,2,146.37,37.0,99.375,291.0,27707534,1,POINT (152168.1472613275 7534932.678798752),POINT (151650.7712599388 7531499.6391658),3471.806309146735,16866.62970392319,12288.842761418306,3304.203114001045
88,26876311,1,723.7900000000001,174.0,66.37962962962963,911.0,27707534,1,POINT (151666.4362847002 7534882.711066048),POINT (151650.7712599388 7531499.6391658),3383.108167831123,16367.483585182123,11860.454299826133,3374.6223931071954
89,26876312,2,53.29,14.0,15.5,36.0,27707534,1,POINT (151580.6430646059 7534800.123769538),POINT (151650.7712599388 7531499.6391658),3301.2295562858017,16264.445927182105,11821.59867273112,3294.6521982471277
90,26876313,1,8.52,4.0,135.41666666666669,324.0,27707534,0,POINT (154994.4397639579 7529306.188270884),POINT (151650.7712599388 7531499.6391658),3998.918090331305,19284.14547754618,16969.332159599486,3178.9877925152377
91,26876314,1,4.26,2.0,167.58333333333334,181.0,27707534,0,POINT (155258.6097196905 7529084.392953825),POINT (151650.7712599388 7531499.6391658),4341.6486057858265,19567.204373064873,17159.01984233951,3519.8697430042607
