,COD_ID,geometry,CTMT,UNI_TR_D,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,TIEMPO_MIN,DISTANCIA_KM,NODE,ENDNODE,g_degree,g_avg_ndeg,g_pagerank,dist_to_trs,COMP,R,X,impedancia,angulo_impedancia,GRU_TAR_2,GRU_TAR_3,DIC_above,FIC_above
1346,26877198,POINT (-42.51194821593737 -22.4231553142663),27117484,26877198,92.82,20.0,0.21089918256130785,0.010438290705416943,27707534,0,POINT (-42.51194821593737 -22.4231553142663),POINT (-42.38023628887362 -22.28705286010137),0.9777892561983472,0.9818017293384276,27161902,27707553,0.3333333333333333,0.14285714285714285,0.37663897467802154,0.930502700362043,0.900060269881922,0.8821194547351063,0.8924641316983734,0.8849963367120863,0.5611580836670544,0,0,1,1
1347,26877199,POINT (-42.52035971892582 -22.41054656377287),27117484,26877199,62.3,21.0,0.30937329700272476,0.01298421526771376,27707534,0,POINT (-42.52035971892582 -22.41054656377287),POINT (-42.38023628887362 -22.28705286010137),0.9306129476584021,0.9437210939070985,27159915,27707553,0.3333333333333333,0.14285714285714285,0.37698346494200474,0.9432346574965988,0.9450917987947028,0.9191048355954408,0.9437035808076705,0.9260064150129481,0.5677960459940279,0,0,1,1
1348,26877200,POINT (-42.41054853828439 -22.40898072358146),27117484,26877200,9.178571428571429,8.0,0.12331646555079792,0.010888723512592534,27707534,0,POINT (-42.41054853828439 -22.40898072358146),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0,27153328,27707553,0.3333333333333333,0.14285714285714285,0.3719057938560699,0.8238886910172092,0.8220646080293875,0.7939714694419948,0.8148123033142927,0.7998016946263519,0.567642189052287,0,0,0,1
1349,26877201,POINT (-42.52401734892146 -22.41212986160377),27117484,26877201,66.78,22.0,0.18685286103542229,0.009909521757862989,27707534,0,POINT (-42.52401734892146 -22.41212986160377),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0,27159839,27707553,0.3333333333333333,0.14285714285714285,0.37752255924670586,0.9545992539563978,0.95608458984488,0.9353002967423864,0.9549742973758678,0.9408089380785946,0.5652580404359865,0,0,1,1
1350,26877202,POINT (-42.51565342726383 -22.42171163708235),27117484,26877202,92.82,20.0,0.052588555858310626,0.0011554580705808626,27707534,0,POINT (-42.51565342726383 -22.42171163708235),POINT (-42.38023628887362 -22.28705286010137),0.9540289256198347,0.962623165091494,27161004,27707553,0.0,0.14285714285714285,0.07767054713284671,0.9421492078221044,0.9113257489005279,0.9009401314947235,0.9043599121929559,0.9018811841398573,0.5576135747958019,0,0,1,1
1351,26877203,POINT (-42.44891079020078 -22.43596179689933),27117484,26877203,18.82,12.0,0.617983651226158,0.006071050879323176,27707534,0,POINT (-42.44891079020078 -22.43596179689933),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0,27158871,27707553,0.3333333333333333,0.14285714285714285,0.3832727788995892,0.9674066169187827,0.9357568337745741,0.9567699439018056,0.9306342637012349,0.9495634474480874,0.5435692093497677,0,0,1,1
1352,26877204,POINT (-42.51592034424846 -22.42404795704755),27117484,26877204,92.82,20.0,0.5010899182561308,0.0034663742117425874,27707534,0,POINT (-42.51592034424846 -22.42404795704755),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0,27162609,27707553,0.0,0.42857142857142855,0.04201982272894633,0.9425898902593186,0.9117520139218082,0.8993446694666247,0.9044514725529376,0.9007566414342797,0.5584547375929214,0,0,1,1
1353,26877205,POINT (-42.5258027756775 -22.41319924365013),27117484,26877205,62.3,21.0,0.6779291553133514,0.01780188790098312,27707534,0,POINT (-42.5258027756775 -22.41319924365013),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0,27159918,27707553,0.3333333333333333,0.14285714285714285,0.37752255924670586,0.9600744107304038,0.9613806207771278,0.9431028341330032,0.9604042253442353,0.9479425104200234,0.5640635682589252,0,0,1,1
1354,26877206,POINT (-42.45280546170267 -22.43593303837895),27117484,26877206,18.82,12.0,0.04059945504087193,0.0004896008773647723,27707534,0,POINT (-42.45280546170267 -22.43593303837895),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0,27158594,27707553,0.3333333333333333,0.14285714285714285,0.36432374466468154,0.9775867031030027,0.9456038671199102,0.9712773829342705,0.9407302549164125,0.9628701023996339,0.541681661723127,0,0,1,1
1355,26877207,POINT (-42.40286390964167 -22.42591983023596),27117484,26877207,15.87,9.0,0.07247956403269754,0.0005875210528377267,27707534,0,POINT (-42.40286390964167 -22.42591983023596),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0,27162085,27707553,0.0,0.14285714285714285,0.09845378065882082,0.8415143666067659,0.8139832884127078,0.7141886627576332,0.7989869900123524,0.7387347653380172,0.6074234137543568,0,0,0,1
1356,26877210,POINT (-42.5197227363152 -22.42706337307618),27117484,26877210,92.82,20.0,0.08746594005449589,0.0005679370177431359,27707534,0,POINT (-42.5197227363152 -22.42706337307618),POINT (-42.38023628887362 -22.28705286010137),0.0,0.0,27162523,27707553,0.0,0.14285714285714285,0.1015474536353102,0.9576282875955321,0.9262984133677823,0.920775591420829,0.9193656417111618,0.9203738264881315,0.5552205034678608,0,0,1,1
1357,26877212,POINT (-42.53595074003459 -22.42285802897482),27117484,26877212,62.3,21.0,0.08991825613079016,0.0011554580705808626,27707534,0,POINT (-42.53595074003459 -22.42285802897482),POINT (-42.38023628887362 -22.28705286010137),1.0,1.0,27159931,27707553,0.3333333333333333,0.14285714285714285,0.4282603423688436,1.0,1.0,1.0,1.0,1.0,0.5558683521096566,0,0,1,1
1358,26877213,POINT (-42.49612924097164 -22.36854210073733),27117484,26877213,18.973333333333333,11.666666666666664,0.28900999091734786,0.010790803337119579,27707534,0,POINT (-42.49612924097164 -22.36854210073733),POINT (-42.38023628887362 -22.28705286010137),0.5928030303030303,0.6698170118640661,27155421,27707553,0.0,0.42857142857142855,0.041216996474581935,0.6727479645292174,0.6507382668326334,0.44509652674590416,0.6238340151106877,0.5012341164595794,0.7165156555209347,0,0,1,1
1359,26877214,POINT (-42.49824576842741 -22.36864553626242),27117484,26877214,25.79,15.0,0.12016348773841962,0.0012729622811484078,27707534,0,POINT (-42.49824576842741 -22.36864553626242),POINT (-42.38023628887362 -22.28705286010137),0.5805785123966942,0.6598129901467927,27155688,27707553,0.3333333333333333,0.14285714285714285,0.38909674990351895,0.666954616121705,0.6451344542599705,0.4385780397542282,0.618229049862289,0.495117646985625,0.7193563880429474,0,0,1,1
1360,26877217,POINT (-42.52092182308365 -22.22953532559478),27117485,26877217,0.0,0.0,0.4067110707437682,0.18115232462496575,27707625,1,POINT (-42.52092182308365 -22.22953532559478),POINT (-42.52043283470749 -22.2303983698888),0.007575757575757575,0.004951739392720692,27145914,27707668,0.3333333333333333,0.42857142857142855,0.2934255177544802,0.0030163079699768005,0.0029176261008678483,0.0008010254978053026,0.002535435332432642,0.0015003982137706674,1.0976751221988779,0,0,0,0
1361,26877588,POINT (-42.52453920212241 -22.23061966966196),27117487,26877588,0.10666666666666666,0.04166666666666666,0.32600287617317586,0.20177431357956996,27707625,1,POINT (-42.52453920212241 -22.23061966966196),POINT (-42.52043283470749 -22.2303983698888),0.0,0.0,27148623,27707670,0.0,0.14285714285714285,0.10150762790574513,0.01876801649087027,0.018153999962975422,0.024745809517320406,0.01842183368342726,0.022989416691954027,0.45486225584878165,0,0,0,0
1362,26876549,POINT (-42.29252061003808 -22.33421686681493),27117483,26876549,27.79,10.0,0.42847411444141686,0.005973130703850221,27707534,0,POINT (-42.29252061003808 -22.33421686681493),POINT (-42.38023628887362 -22.28705286010137),0.643939393939394,0.7255429318318922,27156076,27707554,0.0,0.42857142857142855,0.04156211010538252,0.4671074638844256,0.45182552382072183,0.30983710453783636,0.4190279040121527,0.34367320664854506,0.6992127996798596,0,0,1,1
