,UNI_TR_D,TIEMPO_MIN,DISTANCIA_KM
461,26879863,13.366666666666667,7.162
462,26879865,13.066666666666666,6.811
463,26879866,14.333333333333334,7.461
464,26879867,15.5,7.331
465,26879868,14.866666666666667,7.541
466,26879869,15.783333333333333,7.315
467,26879870,14.716666666666667,7.537
468,26879871,14.766666666666667,7.309
469,26879872,15.866666666666667,7.821
470,26879873,15.816666666666666,7.66
471,26879874,17.1,7.907
472,26879875,16.466666666666665,7.885
473,26879876,15.566666666666666,7.779
474,26879877,24.7,9.772
475,26879878,10.15,4.566
476,26879879,0.0,0.0
477,26879880,8.516666666666667,3.925
478,26880569,12.483333333333333,6.642
479,26880570,12.183333333333334,6.58
480,26880571,12.166666666666666,6.611
481,26880572,12.083333333333334,6.757
482,26880573,13.0,7.029
483,26880574,13.183333333333334,7.229
484,26880575,13.866666666666667,7.332
485,26880576,14.1,7.317
486,26880577,13.783333333333333,7.444
487,26880578,14.3,7.392
488,26880579,14.2,7.37
489,26880580,16.35,7.845
490,26880581,15.066666666666666,7.798
491,26880582,16.283333333333335,7.815
492,26880583,11.983333333333333,6.629
493,26880585,15.383333333333333,7.872
494,26880586,5.716666666666667,2.158
495,26880587,4.95,2.943
496,26880589,15.716666666666667,12.72
497,26880590,34.7,15.107
498,26880592,25.55,10.279
499,26880593,15.366666666666667,7.887
500,26880594,12.366666666666667,6.728
501,26880595,18.25,8.317
502,26880596,16.933333333333334,8.022
503,26880597,18.466666666666665,8.372
504,26880598,13.316666666666666,7.046
505,26880599,0.0,0.0
506,26880600,0.0,0.0
507,26880601,0.0,0.0
508,26880602,0.0,0.0
509,26880603,15.333333333333334,6.626
510,28306056,0.0,0.0
511,28331844,0.0,0.0
512,154081659,51.3,24.498
513,154755914,51.88333333333333,23.494
514,154961880,7.233333333333333,5.727
515,154996330,0.0,0.0
516,155511553,18.35,13.533
517,155563118,62.7,34.506
518,155889493,6.766666666666667,2.26
519,156121282,48.03333333333333,24.016
520,156593603,11.683333333333334,3.898
521,157173298,0.0,0.0
522,157722925,39.233333333333334,16.801
523,158508716,6.866666666666666,3.594
524,160501167,6.0,2.272
525,161845175,10.15,3.812
526,163996457,0.0,0.0
527,165984616,5.233333333333333,2.553
528,169252315,0.0,0.0
529,171442258,9.366666666666667,4.008
530,171446540,0.0,0.0
531,171871665,9.233333333333333,6.791
532,172090646,19.566666666666666,9.43
533,172313938,16.266666666666666,9.897
534,176487758,0.0,0.0
535,184246971,5.95,2.494
536,26878000,55.2,22.052
537,26878001,55.2,22.052
538,26878002,55.61666666666667,22.193
539,26878003,49.75,20.235
540,26878004,38.56666666666667,24.079
541,26878005,0.0,0.0
542,26878006,0.0,0.0
543,26878007,38.45,24.038
544,26878008,50.35,20.439
545,26878009,43.983333333333334,29.259
546,26878010,43.36666666666667,29.053
547,26878011,41.45,28.413
548,26878012,41.25,28.348
549,26878013,41.6,28.465
550,26878014,59.3,23.417
551,26878015,59.95,23.638
552,26878016,40.21666666666667,28.003
553,26878017,42.483333333333334,28.759
554,26878018,60.483333333333334,23.812
555,26878019,61.36666666666667,24.11
556,26878020,61.03333333333333,23.997
557,26878021,2.8333333333333335,2.511
558,26878022,3.1333333333333333,2.636
559,26878023,0.0,0.0
560,26878024,3.2666666666666666,2.909
561,26878025,7.766666666666667,4.796
562,26878026,0.0,0.0
563,26878027,5.85,4.243
564,26878028,6.383333333333334,4.419
565,26878029,6.966666666666667,4.613
566,26878030,6.95,4.594
567,26878031,10.333333333333334,6.676
568,26878032,0.0,0.0
569,26878033,6.166666666666667,5.236
570,26878034,6.966666666666667,5.565
571,26878035,6.866666666666666,5.608
572,26878036,7.333333333333333,5.665
573,26878037,7.683333333333334,5.876
574,26878039,0.0,0.0
575,26878040,11.183333333333334,8.701
576,26880446,4.8,1.864
577,26880447,0.0,0.0
578,26880448,5.55,2.11
579,26880449,6.216666666666667,2.334
580,26880450,5.883333333333334,2.332
581,26880451,6.483333333333333,2.513
582,26880452,6.4,2.531
583,26880453,7.633333333333334,2.755
584,26880454,3.65,1.319
585,26880455,3.55,1.268
586,26880456,0.0,0.0
587,26880457,3.6166666666666667,1.319
588,26880458,0.0,0.0
589,26880459,3.6166666666666667,1.319
590,26880460,4.55,1.813
591,26880461,4.466666666666667,1.764
592,26880462,4.383333333333334,1.727
593,26880463,0.0,0.0
594,26880464,9.75,4.231
595,26880465,3.0166666666666666,0.708
596,26880466,2.7,0.677
597,26880467,0.0,0.0
598,26880468,2.8833333333333333,0.754
599,26880469,3.0166666666666666,0.802
600,26880470,0.0,0.0
601,26880471,3.45,1.481
602,26880472,0.0,0.0
603,26880473,3.3833333333333333,1.345
604,26880474,0.0,0.0
605,26880475,5.383333333333334,1.345
606,26880476,4.183333333333334,1.574
607,26876908,0.0,0.0
608,26877589,3.283333333333333,1.112
609,26877590,0.0,0.0
610,26877591,3.033333333333333,0.901
611,26877592,0.0,0.0
612,26877593,3.5833333333333335,1.07
613,26877594,4.266666666666667,1.332
614,26877595,4.85,1.552
615,26877596,4.116666666666666,1.395
616,26877597,0.0,0.0
617,26877598,8.983333333333333,4.79
618,26877599,4.25,1.426
619,26877600,5.15,1.713
620,26877601,8.25,4.455
621,26877602,4.733333333333333,1.577
622,26877603,0.0,0.0
623,26877604,4.716666666666667,1.566
624,26877605,6.516666666666667,2.081
625,26877606,0.0,0.0
626,26877607,7.166666666666667,2.294
627,26877608,6.3,1.948
628,26877609,0.0,0.0
629,26877610,7.45,2.388
630,26877611,7.5,2.338
631,26877612,7.666666666666667,2.43
632,26877613,7.3,4.065
633,26877614,0.0,0.0
634,26877615,7.95,2.507
635,26877616,8.183333333333334,2.535
636,26877617,7.766666666666667,2.394
637,26877618,7.416666666666667,3.929
638,26877620,8.2,2.537
639,26877621,8.666666666666666,2.621
640,26876933,52.333333333333336,23.647
641,26876934,63.15,28.1
642,26876935,39.233333333333334,16.801
643,26876936,49.95,22.852
644,26876937,49.06666666666667,22.558
645,26876938,0.0,0.0
646,26876939,0.0,0.0
647,26876940,0.0,0.0
648,26876941,52.333333333333336,23.647
649,26876942,0.0,0.0
650,26876943,48.61666666666667,22.402
651,26876944,50.266666666666666,22.957
652,26876945,0.0,0.0
653,26876946,0.0,0.0
654,26876947,42.9,20.499
655,26876948,0.0,0.0
656,26876949,0.0,0.0
657,26876950,0.0,0.0
658,26876951,43.85,20.817
659,26876952,0.0,0.0
660,26876953,42.61666666666667,20.409
661,26876954,0.0,0.0
662,26876956,0.0,0.0
663,26876957,44.266666666666666,21.948
664,26876958,0.0,0.0
665,26876959,44.71666666666667,21.103
666,26876960,0.0,0.0
667,26876961,0.0,0.0
668,26876962,50.71666666666667,23.102
669,26876963,45.31666666666667,22.298
670,26876964,0.0,0.0
671,26876965,50.71666666666667,23.102
672,26876966,49.68333333333333,22.759
673,26876967,0.0,0.0
674,26876968,0.0,0.0
675,26876969,50.71666666666667,23.102
676,26876970,0.0,0.0
677,26876971,0.0,0.0
678,26876972,0.0,0.0
679,26876973,0.0,0.0
680,26876974,0.0,0.0
681,26876975,0.0,0.0
682,26876976,63.916666666666664,28.882
683,26876977,0.0,0.0
684,26876978,0.0,0.0
685,26876979,0.0,0.0
686,26876980,0.0,0.0
687,26876981,0.0,0.0
688,26876982,65.63333333333334,29.454
689,26876983,0.0,0.0
690,26876984,0.0,0.0
691,26876985,0.0,0.0
692,26876986,0.0,0.0
693,26876987,0.0,0.0
694,26876988,0.0,0.0
695,26876989,74.2,32.26
696,26876990,0.0,0.0
697,26876991,0.0,0.0
698,26876992,0.0,0.0
699,26876993,43.083333333333336,20.558
700,26876994,42.61666666666667,20.409
701,26876995,0.0,0.0
702,26876996,43.583333333333336,20.729
703,26876997,0.0,0.0
704,26876998,44.21666666666667,20.938
705,28439162,12.616666666666667,5.835
706,28546817,6.5,2.166
707,28658156,0.0,0.0
708,30113937,11.133333333333333,4.659
709,34502404,13.183333333333334,4.402
710,35146390,6.466666666666667,2.302
711,35558615,19.6,9.912
712,36428611,8.116666666666667,6.054
713,36477537,13.716666666666667,6.261
714,36520470,17.15,13.196
715,36541940,24.466666666666665,11.083
716,26877725,4.05,2.228
717,26877726,4.016666666666667,2.214
718,26877727,0.0,0.0
719,26877728,7.833333333333333,4.349
720,26877729,8.516666666666667,4.512
721,26877730,7.783333333333333,4.58
722,26877731,7.8,4.516
723,26877732,8.266666666666667,4.633
724,26877733,9.866666666666667,4.953
