,UNI_TR_D,GRU_TAR,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,EUC_DIST_UNTRS,EUC_DIST_CENT,EUC_DIST_PRIMARY,EUC_DIST_SECONDARY
99,26876322,1,25.189999999999987,47.0,128.80208333333334,4188.0,27707534,1,POINT (156430.1524424104 7528580.372431533),POINT (151650.7712599388 7531499.6391658),5600.410945025315,20523.744149708997,18162.35090018961,3596.852671042805
100,26876323,1,477.88999999999913,262.0,103.8860153256705,13446.0,27707534,1,POINT (156560.1178056446 7528585.547017245),POINT (151650.7712599388 7531499.6391658),5709.0819363629225,20652.19455757198,18289.91398187186,3574.3229403089854
101,26876324,1,13.519999999999996,26.0,114.1153846153846,2336.0,27707534,1,POINT (156354.1256707521 7528754.579203475),POINT (151650.7712599388 7531499.6391658),5445.814623219841,20428.297906919317,18130.33209702789,3784.0158270650163
102,26876325,1,1293.9999999999998,385.0,100.2663398692811,7292.0,27707534,1,POINT (155876.9100757285 7528190.857867802),POINT (151650.7712599388 7531499.6391658),5367.334810527754,20025.58132975946,17534.86412221953,3401.054310957972
103,26876326,1,181.44,41.0,120.45833333333333,859.0,27707534,1,POINT (156479.2658482337 7528830.654872911),POINT (151650.7712599388 7531499.6391658),5517.0496775796055,20544.474140972136,18270.342811772585,3830.6134523913333
104,26876327,1,278.48999999999995,347.0,86.59383202099735,16446.0,27707534,1,POINT (156784.7510040783 7528451.302788823),POINT (151650.7712599388 7531499.6391658),5970.770694008944,20891.301013130607,18477.895889202795,3404.4462127832426
105,26876328,1,23.63,5.0,38.5,66.0,27707534,0,POINT (156744.4319074965 7529036.467685461),POINT (151650.7712599388 7531499.6391658),5657.967173290548,20787.629670460283,18578.635210835608,3989.7684129929517
106,26876329,1,51.81,9.0,71.45833333333334,231.0,27707534,0,POINT (156888.5127555931 7529006.236110283),POINT (151650.7712599388 7531499.6391658),5800.947747787393,20933.935259964474,18710.41758600535,3943.7285801103967
107,26876330,1,25.249999999999986,49.0,90.63,3530.0,27707534,1,POINT (156761.7925118125 7528424.354392678),POINT (151650.7712599388 7531499.6391658),5964.890164362056,20871.83497724899,18449.499290856053,3381.0402738117627
108,26876331,1,148.1700000000001,146.0,117.83680555555554,8048.0,27707534,1,POINT (156831.4894416756 7528182.809048154),POINT (151650.7712599388 7531499.6391658),6151.520373688063,20972.17640456536,18465.34625741671,3132.080281330483
109,26876333,1,88.73000000000012,157.0,96.1458333333333,12602.0,27707534,1,POINT (156835.7894544969 7528301.135333324),POINT (151650.7712599388 7531499.6391658),6092.195043189568,20960.824577728865,18494.694203703282,3248.794114248769
110,26876334,1,71.8,12.0,140.66666666666669,339.0,27707534,0,POINT (157179.6200570302 7529599.504007807),POINT (151650.7712599388 7531499.6391658),5846.2537269382765,21175.989363116165,19147.548141384388,4518.851583921828
111,26876336,1,235.59,47.0,101.34722222222223,1077.0,27707534,0,POINT (157553.495949631 7529715.515421305),POINT (151650.7712599388 7531499.6391658),6166.46221896906,21541.77541514844,19538.922774295588,4642.036371169824
112,26876337,1,616.2300000000001,322.0,80.77678571428575,7724.0,27707534,1,POINT (157045.4272730491 7528392.59156066),POINT (151650.7712599388 7531499.6391658),6225.43639598014,21157.22026524631,18719.169222354532,3318.989649272161
113,26876338,1,999.5399999999993,413.0,106.42610062893083,8544.0,27707534,1,POINT (157047.0631332394 7528150.339623116),POINT (151650.7712599388 7531499.6391658),6351.202516726552,21190.159451611868,18669.493679375777,3077.2530118013055
114,26876339,1,1614.079999999998,401.0,112.48854166666669,13362.0,27707534,1,POINT (157128.9481163104 7528306.800712207),POINT (151650.7712599388 7531499.6391658),6340.712819583108,21250.839892299096,18782.27144013155,3228.501092093413
115,26876340,1,160.55,81.0,89.92857142857143,2743.0,27707534,1,POINT (156666.0741043213 7527835.774516659),POINT (151650.7712599388 7531499.6391658),6211.051987231917,20858.24465762519,18233.44990326074,2818.585253029429
116,26876341,1,35.9,6.0,30.583333333333332,100.0,27707534,0,POINT (157909.5189867162 7529751.712777898),POINT (151650.7712599388 7531499.6391658),6498.243590768705,21895.058917027523,19826.03611894212,4712.335012044681
117,26876342,1,859.8599999999997,306.0,116.28186274509805,6093.0,27707534,1,POINT (157164.5130286532 7527941.737966697),POINT (151650.7712599388 7531499.6391658),6562.012590253589,21335.52792778082,18742.970971784027,2862.251582371177
118,26876344,1,1198.5499999999984,494.0,89.85267857142858,8375.0,27707534,1,POINT (157245.5480264522 7528044.094534451),POINT (151650.7712599388 7531499.6391658),6575.8889715659,21401.305718454303,18842.47232736275,2962.5571247367875
119,26876345,1,51.419999999999966,98.0,112.995,8593.0,27707534,1,POINT (156563.6205603432 7527592.379117127),POINT (151650.7712599388 7531499.6391658),6277.16252270432,20795.58587801808,18087.248567289953,2606.4201966719784
120,26876346,1,1.54,3.0,58.916666666666664,81.0,27707534,0,POINT (157495.454922439 7528402.390090027),POINT (151650.7712599388 7531499.6391658),6614.626138495978,21602.68164172482,19160.727388456387,3327.845681856453
121,26876347,1,692.2500000000002,235.0,97.41801075268816,9255.0,27707534,1,POINT (156509.207202398 7527424.994246889),POINT (151650.7712599388 7531499.6391658),6340.90932139764,20770.139154391996,18004.068395127026,2461.2528234077413
122,26876348,1,762.6899999999999,197.0,111.33730158730157,3418.0,27707534,1,POINT (156339.6778687589 7527332.127717718),POINT (151650.7712599388 7531499.6391658),6273.276405207063,20619.52904067638,17821.15322048777,2430.198064909569
123,26876349,1,41.62,16.0,1.5833333333333333,18.0,27707534,0,POINT (157635.6331265072 7528029.589916697),POINT (151650.7712599388 7531499.6391658),6918.078732791793,21789.67538620207,19222.186947103153,2969.582497342026
124,26876350,1,147.34,59.0,49.24074074074073,1189.0,27707534,0,POINT (157772.4216240579 7527963.94501569),POINT (151650.7712599388 7531499.6391658),7069.351901245256,21934.20333218563,19343.92328454848,2923.4845228693794
